,ant,frame,video,colony,date,t,x,y
1003133,15,44233,1,6,1/15/17,19:50:36,924,648
1003134,15,44234,1,6,1/15/17,19:50:36,964,628
1003135,15,44235,1,6,1/15/17,19:50:36,960,628
1003136,15,44236,1,6,1/15/17,19:50:37,944,624
1003137,15,44237,1,6,1/15/17,19:50:37,936,624
1003138,15,44238,1,6,1/15/17,19:50:37,924,620
1003139,15,44239,1,6,1/15/17,19:50:37,924,624
1003140,15,44240,1,6,1/15/17,19:50:37,916,620
1003141,15,44241,1,6,1/15/17,19:50:37,916,620
1003142,15,44242,1,6,1/15/17,19:50:37,912,620
1003143,15,44243,1,6,1/15/17,19:50:37,908,620
1003144,15,44244,1,6,1/15/17,19:50:37,912,620
1003145,15,44245,1,6,1/15/17,19:50:37,908,620
1003146,15,44246,1,6,1/15/17,19:50:37,912,620
1003147,15,44247,1,6,1/15/17,19:50:37,916,620
1003148,15,44248,1,6,1/15/17,19:50:37,912,616
1003149,15,44249,1,6,1/15/17,19:50:37,908,616
1003150,15,44250,1,6,1/15/17,19:50:37,912,620
1003151,15,44251,1,6,1/15/17,19:50:37,916,624
1003152,15,44252,1,6,1/15/17,19:50:37,948,612
1003153,15,44253,1,6,1/15/17,19:50:37,948,608
1003154,15,44254,1,6,1/15/17,19:50:37,940,604
1003155,15,44255,1,6,1/15/17,19:50:37,944,600
1003156,15,44256,1,6,1/15/17,19:50:37,948,596
1003157,15,44257,1,6,1/15/17,19:50:37,948,584
1003158,15,44258,1,6,1/15/17,19:50:37,948,584
1003159,15,44259,1,6,1/15/17,19:50:37,952,576
1003160,15,44260,1,6,1/15/17,19:50:37,948,568
1003161,15,44261,1,6,1/15/17,19:50:37,952,564
1003162,15,44262,1,6,1/15/17,19:50:37,952,564
1003163,15,44263,1,6,1/15/17,19:50:37,940,532
1003164,15,44264,1,6,1/15/17,19:50:37,936,524
1003165,15,44265,1,6,1/15/17,19:50:37,928,520
1003166,15,44266,1,6,1/15/17,19:50:38,916,516
1003167,15,44267,1,6,1/15/17,19:50:38,900,504
1003168,15,44268,1,6,1/15/17,19:50:38,864,496
1003169,15,44269,1,6,1/15/17,19:50:38,836,500
1003170,15,44270,1,6,1/15/17,19:50:38,816,508
1003171,15,44271,1,6,1/15/17,19:50:38,792,516
1003172,15,44272,1,6,1/15/17,19:50:38,764,524
1003173,15,44273,1,6,1/15/17,19:50:38,752,532
1003174,15,44274,1,6,1/15/17,19:50:38,744,536
1003175,15,44275,1,6,1/15/17,19:50:38,740,536
1003176,15,44276,1,6,1/15/17,19:50:38,736,540
1003177,15,44277,1,6,1/15/17,19:50:38,736,540
1003178,15,44278,1,6,1/15/17,19:50:38,740,540
1003179,15,44279,1,6,1/15/17,19:50:38,740,540
1003180,15,44280,1,6,1/15/17,19:50:38,740,540
1003181,15,44281,1,6,1/15/17,19:50:38,744,540
1003182,15,44282,1,6,1/15/17,19:50:38,736,540
1003183,15,44283,1,6,1/15/17,19:50:38,732,540
1003184,15,44284,1,6,1/15/17,19:50:38,732,540
1003185,15,44285,1,6,1/15/17,19:50:38,732,536
1003186,15,44286,1,6,1/15/17,19:50:38,736,536
1003187,15,44287,1,6,1/15/17,19:50:38,736,536
1003188,15,44288,1,6,1/15/17,19:50:38,736,536
1003189,15,44289,1,6,1/15/17,19:50:38,736,540
1003190,15,44290,1,6,1/15/17,19:50:38,728,536
1003191,15,44291,1,6,1/15/17,19:50:38,716,536
1003192,15,44292,1,6,1/15/17,19:50:38,704,536
1003193,15,44293,1,6,1/15/17,19:50:38,692,532
1003194,15,44294,1,6,1/15/17,19:50:38,668,528
1003195,15,44295,1,6,1/15/17,19:50:38,644,520
1003196,15,44296,1,6,1/15/17,19:50:39,612,500
1003197,15,44297,1,6,1/15/17,19:50:39,596,492
1003198,15,44298,1,6,1/15/17,19:50:39,588,476
1003199,15,44299,1,6,1/15/17,19:50:39,580,464
1003200,15,44300,1,6,1/15/17,19:50:39,580,456
1003201,15,44301,1,6,1/15/17,19:50:39,580,452
1003202,15,44302,1,6,1/15/17,19:50:39,576,448
1003203,15,44303,1,6,1/15/17,19:50:39,580,448
1003204,15,44304,1,6,1/15/17,19:50:39,580,444
1003205,15,44305,1,6,1/15/17,19:50:39,580,440
1003206,15,44306,1,6,1/15/17,19:50:39,580,440
1003207,15,44307,1,6,1/15/17,19:50:39,568,424
1003208,15,44308,1,6,1/15/17,19:50:39,560,412
1003209,15,44309,1,6,1/15/17,19:50:39,556,408
1003210,15,44310,1,6,1/15/17,19:50:39,556,404
1003211,15,44311,1,6,1/15/17,19:50:39,556,400
1003212,15,44312,1,6,1/15/17,19:50:39,548,396
1003213,15,44313,1,6,1/15/17,19:50:39,548,396
1003214,15,44314,1,6,1/15/17,19:50:39,548,396
1003215,15,44315,1,6,1/15/17,19:50:39,548,396
1003216,15,44316,1,6,1/15/17,19:50:39,548,396
1003217,15,44317,1,6,1/15/17,19:50:39,552,396
1003218,15,44318,1,6,1/15/17,19:50:39,556,396
1003219,15,44319,1,6,1/15/17,19:50:39,556,392
1003220,15,44320,1,6,1/15/17,19:50:39,548,392
1003221,15,44321,1,6,1/15/17,19:50:39,548,392
1003222,19,45251,1,6,1/15/17,19:51:10,1804,8
1003223,19,45252,1,6,1/15/17,19:51:10,1772,20
1003224,19,45253,1,6,1/15/17,19:51:10,1744,24
1003225,19,45254,1,6,1/15/17,19:51:10,1732,36
1003226,19,45255,1,6,1/15/17,19:51:11,1724,36
1003227,19,45256,1,6,1/15/17,19:51:11,1732,28
1003228,19,45257,1,6,1/15/17,19:51:11,1748,16
1003229,19,45258,1,6,1/15/17,19:51:11,1780,12
1003230,19,45259,1,6,1/15/17,19:51:11,1788,16
1003231,19,45260,1,6,1/15/17,19:51:11,1804,20
1003232,19,45261,1,6,1/15/17,19:51:11,1804,16
1003233,19,45262,1,6,1/15/17,19:51:11,1812,16
1003234,19,45263,1,6,1/15/17,19:51:11,1816,16
1003235,19,45264,1,6,1/15/17,19:51:11,1808,16
1003236,19,45265,1,6,1/15/17,19:51:11,1804,20
1003237,19,45266,1,6,1/15/17,19:51:11,1804,24
1003238,19,45267,1,6,1/15/17,19:51:11,1800,24
1003239,19,45268,1,6,1/15/17,19:51:11,1800,24
1003240,19,45269,1,6,1/15/17,19:51:11,1788,36
1003241,19,45270,1,6,1/15/17,19:51:11,1772,44
1003242,19,45271,1,6,1/15/17,19:51:11,1756,52
1003243,19,45272,1,6,1/15/17,19:51:11,1732,68
1003244,19,45273,1,6,1/15/17,19:51:11,1696,76
1003245,19,45274,1,6,1/15/17,19:51:11,1672,84
1003246,19,45275,1,6,1/15/17,19:51:11,1648,96
1003247,19,45276,1,6,1/15/17,19:51:11,1628,104
1003248,19,45277,1,6,1/15/17,19:51:11,1604,116
1003249,19,45278,1,6,1/15/17,19:51:11,1592,124
1003250,19,45279,1,6,1/15/17,19:51:11,1588,136
1003251,19,45280,1,6,1/15/17,19:51:11,1576,144
1003252,19,45281,1,6,1/15/17,19:51:11,1548,152
1003253,19,45282,1,6,1/15/17,19:51:11,1520,164
1003254,19,45283,1,6,1/15/17,19:51:11,1480,176
1003255,19,45284,1,6,1/15/17,19:51:11,1452,180
1003256,19,45285,1,6,1/15/17,19:51:12,1420,180
1003257,19,45286,1,6,1/15/17,19:51:12,1372,188
1003258,19,45287,1,6,1/15/17,19:51:12,1348,196
1003259,19,45288,1,6,1/15/17,19:51:12,1308,200
1003260,19,45289,1,6,1/15/17,19:51:12,1256,204
1003261,19,45290,1,6,1/15/17,19:51:12,1232,204
1003262,19,45291,1,6,1/15/17,19:51:12,1188,228
1003263,19,45292,1,6,1/15/17,19:51:12,1152,224
1003264,19,45293,1,6,1/15/17,19:51:12,1144,232
1003265,19,45294,1,6,1/15/17,19:51:12,1100,236
1003266,19,45295,1,6,1/15/17,19:51:12,1096,236
1003267,19,45296,1,6,1/15/17,19:51:12,1100,228
1003268,19,45297,1,6,1/15/17,19:51:12,1116,216
1003269,19,45298,1,6,1/15/17,19:51:12,1140,220
1003270,19,45299,1,6,1/15/17,19:51:12,1164,212
1003271,19,45300,1,6,1/15/17,19:51:12,1164,212
1003272,19,45301,1,6,1/15/17,19:51:12,1164,208
1003273,19,45302,1,6,1/15/17,19:51:12,1164,208
1003274,19,45303,1,6,1/15/17,19:51:12,1160,208
1003275,19,45304,1,6,1/15/17,19:51:12,1156,212
1003276,19,45305,1,6,1/15/17,19:51:12,1160,212
1003277,19,45306,1,6,1/15/17,19:51:12,1184,208
1003278,19,45307,1,6,1/15/17,19:51:12,1188,212
1003279,19,45308,1,6,1/15/17,19:51:12,1200,220
1003280,19,45309,1,6,1/15/17,19:51:12,1200,228
1003281,19,45310,1,6,1/15/17,19:51:12,1196,232
1003282,19,45311,1,6,1/15/17,19:51:12,1188,236
1003283,19,45312,1,6,1/15/17,19:51:12,1180,244
1003284,19,45313,1,6,1/15/17,19:51:12,1172,256
1003285,19,45314,1,6,1/15/17,19:51:12,1172,260
1003286,19,45315,1,6,1/15/17,19:51:13,1172,264
1003287,19,45316,1,6,1/15/17,19:51:13,1168,276
1003288,19,45317,1,6,1/15/17,19:51:13,1164,284
1003289,19,45318,1,6,1/15/17,19:51:13,1152,308
1003290,19,45319,1,6,1/15/17,19:51:13,1132,324
1003291,19,45320,1,6,1/15/17,19:51:13,1108,332
1003292,19,45321,1,6,1/15/17,19:51:13,1088,340
1003293,19,45322,1,6,1/15/17,19:51:13,1072,336
1003294,19,45323,1,6,1/15/17,19:51:13,1068,320
1003295,19,45324,1,6,1/15/17,19:51:13,1028,316
1003296,19,45325,1,6,1/15/17,19:51:13,980,312
1003297,19,45326,1,6,1/15/17,19:51:13,952,316
1003298,19,45327,1,6,1/15/17,19:51:13,916,320
1003299,19,45328,1,6,1/15/17,19:51:13,892,320
1003300,19,45329,1,6,1/15/17,19:51:13,856,312
1003301,19,45330,1,6,1/15/17,19:51:13,812,332
1003302,19,45331,1,6,1/15/17,19:51:13,796,340
1003303,19,45332,1,6,1/15/17,19:51:13,776,356
1003304,19,45333,1,6,1/15/17,19:51:13,780,360
1003305,19,45334,1,6,1/15/17,19:51:13,736,380
1003306,19,45335,1,6,1/15/17,19:51:13,708,392
1003307,19,45336,1,6,1/15/17,19:51:13,680,396
1003308,19,45337,1,6,1/15/17,19:51:13,636,400
1003309,19,45338,1,6,1/15/17,19:51:13,604,404
1003310,19,45339,1,6,1/15/17,19:51:13,572,416
1003311,19,45340,1,6,1/15/17,19:51:13,520,424
1003312,19,45341,1,6,1/15/17,19:51:13,488,424
1003313,19,45342,1,6,1/15/17,19:51:13,472,424
1003314,19,45343,1,6,1/15/17,19:51:13,460,432
1003315,19,45344,1,6,1/15/17,19:51:13,436,436
1003316,19,45345,1,6,1/15/17,19:51:14,408,444
1003317,19,45346,1,6,1/15/17,19:51:14,388,452
1003318,19,45347,1,6,1/15/17,19:51:14,352,468
1003319,19,45348,1,6,1/15/17,19:51:14,336,476
1003320,19,45349,1,6,1/15/17,19:51:14,316,480
1003321,19,45350,1,6,1/15/17,19:51:14,288,496
1003322,19,45351,1,6,1/15/17,19:51:14,260,508
1003323,19,45352,1,6,1/15/17,19:51:14,228,524
1003324,19,45353,1,6,1/15/17,19:51:14,204,536
1003325,19,45354,1,6,1/15/17,19:51:14,160,552
1003326,19,45355,1,6,1/15/17,19:51:14,132,560
1003327,19,45356,1,6,1/15/17,19:51:14,104,576
1003328,19,45357,1,6,1/15/17,19:51:14,64,580
1003329,20,46086,1,6,1/15/17,19:51:38,44,572
1003330,20,46087,1,6,1/15/17,19:51:38,60,564
1003331,20,46088,1,6,1/15/17,19:51:38,80,564
1003332,20,46089,1,6,1/15/17,19:51:38,96,556
1003333,20,46090,1,6,1/15/17,19:51:38,116,548
1003334,20,46091,1,6,1/15/17,19:51:38,112,552
1003335,20,46092,1,6,1/15/17,19:51:38,96,556
1003336,20,46093,1,6,1/15/17,19:51:38,92,556
1003337,20,46094,1,6,1/15/17,19:51:39,92,552
1003338,20,46095,1,6,1/15/17,19:51:39,92,552
1003339,20,46096,1,6,1/15/17,19:51:39,96,552
1003340,20,46097,1,6,1/15/17,19:51:39,116,544
1003341,20,46098,1,6,1/15/17,19:51:39,136,532
1003342,20,46099,1,6,1/15/17,19:51:39,156,524
1003343,20,46100,1,6,1/15/17,19:51:39,180,516
1003344,20,46101,1,6,1/15/17,19:51:39,188,508
1003345,20,46102,1,6,1/15/17,19:51:39,200,500
1003346,20,46103,1,6,1/15/17,19:51:39,220,488
1003347,20,46104,1,6,1/15/17,19:51:39,232,480
1003348,20,46105,1,6,1/15/17,19:51:39,244,468
1003349,20,46106,1,6,1/15/17,19:51:39,260,460
1003350,20,46107,1,6,1/15/17,19:51:39,260,464
1003351,20,46108,1,6,1/15/17,19:51:39,260,464
1003352,20,46109,1,6,1/15/17,19:51:39,260,468
1003353,20,46110,1,6,1/15/17,19:51:39,252,472
1003354,20,46111,1,6,1/15/17,19:51:39,252,472
1003355,20,46112,1,6,1/15/17,19:51:39,252,476
1003356,20,46113,1,6,1/15/17,19:51:39,260,476
1003357,20,46114,1,6,1/15/17,19:51:39,276,472
1003358,20,46115,1,6,1/15/17,19:51:39,296,468
1003359,20,46116,1,6,1/15/17,19:51:39,312,464
1003360,20,46117,1,6,1/15/17,19:51:39,332,464
1003361,20,46118,1,6,1/15/17,19:51:39,352,452
1003362,20,46119,1,6,1/15/17,19:51:39,372,448
1003363,20,46120,1,6,1/15/17,19:51:39,384,444
1003364,20,46121,1,6,1/15/17,19:51:39,396,444
1003365,20,46122,1,6,1/15/17,19:51:39,408,440
1003366,20,46123,1,6,1/15/17,19:51:39,412,436
1003367,20,46124,1,6,1/15/17,19:51:40,420,436
1003368,20,46125,1,6,1/15/17,19:51:40,436,424
1003369,20,46126,1,6,1/15/17,19:51:40,448,412
1003370,20,46127,1,6,1/15/17,19:51:40,460,412
1003371,20,46128,1,6,1/15/17,19:51:40,472,400
1003372,20,46129,1,6,1/15/17,19:51:40,488,400
1003373,20,46130,1,6,1/15/17,19:51:40,496,396
1003374,20,46131,1,6,1/15/17,19:51:40,504,392
1003375,20,46132,1,6,1/15/17,19:51:40,524,388
1003376,20,46133,1,6,1/15/17,19:51:40,548,388
1003377,20,46134,1,6,1/15/17,19:51:40,572,380
1003378,20,46135,1,6,1/15/17,19:51:40,596,376
1003379,20,46136,1,6,1/15/17,19:51:40,620,372
1003380,20,46137,1,6,1/15/17,19:51:40,640,364
1003381,20,46138,1,6,1/15/17,19:51:40,664,356
1003382,20,46139,1,6,1/15/17,19:51:40,668,356
1003383,20,46140,1,6,1/15/17,19:51:40,724,308
1003384,20,46141,1,6,1/15/17,19:51:40,752,308
1003385,20,46142,1,6,1/15/17,19:51:40,760,308
1003386,20,46143,1,6,1/15/17,19:51:40,760,308
1003387,20,46144,1,6,1/15/17,19:51:40,756,312
1003388,20,46145,1,6,1/15/17,19:51:40,824,284
1003389,20,46146,1,6,1/15/17,19:51:40,836,284
1003390,20,46147,1,6,1/15/17,19:51:40,828,284
1003391,20,46148,1,6,1/15/17,19:51:40,876,268
1003392,20,46149,1,6,1/15/17,19:51:40,884,272
1003393,20,46150,1,6,1/15/17,19:51:40,892,260
1003394,20,46151,1,6,1/15/17,19:51:40,928,256
1003395,20,46152,1,6,1/15/17,19:51:40,932,260
1003396,20,46153,1,6,1/15/17,19:51:40,968,252
1003397,20,46154,1,6,1/15/17,19:51:41,1008,244
1003398,20,46155,1,6,1/15/17,19:51:41,1032,236
1003399,20,46156,1,6,1/15/17,19:51:41,1060,228
1003400,20,46157,1,6,1/15/17,19:51:41,1076,228
1003401,20,46158,1,6,1/15/17,19:51:41,1084,224
1003402,20,46159,1,6,1/15/17,19:51:41,1096,216
1003403,20,46160,1,6,1/15/17,19:51:41,1092,216
1003404,20,46161,1,6,1/15/17,19:51:41,1076,220
1003405,20,46162,1,6,1/15/17,19:51:41,1068,220
1003406,20,46163,1,6,1/15/17,19:51:41,1044,232
1003407,20,46164,1,6,1/15/17,19:51:41,1044,232
1003408,20,46165,1,6,1/15/17,19:51:41,1044,236
1003409,20,46166,1,6,1/15/17,19:51:41,1036,236
1003410,20,46167,1,6,1/15/17,19:51:41,1028,244
